name,unit,amount,category,source_external_id,is_canonical,calories,fat,protein,carbs,fiber,sugar,sodium,calcium,iron,magnesium,potassium,phosphorus,cholesterol,trans_fat,saturated_fat,water,omega3,omega6,zinc,vitamin_c,glycemic_load,kcal_per_g,burn_run_10kph_min_per_g,burn_walk_7kph_min_per_g,burn_cycle_15kph_min_per_g,burn_swim_crawl_min_per_g,burn_hike_min_per_g,burn_aerobics_min_per_g,nutrient_source,nutrient_source_ref,nutrient_match_score,data_quality_status,data_quality_flags
آب,لیوان,1,نوشیدنی,34040,false,0,0,0,0,0,0,9.6,7.2,0.0349,2.4582,0,0,,,,239.76,0,0,0.024,0,0,0,,,,,,,merged,FoodID:34040|آب water tap,1,verified,
آب,گرم,100,نوشیدنی,34040,true,0,0,0,0,0,0,4,3,0.0146,1.0243,0,0,,,,99.9,0,0,0.01,0,0,0,,,,,,,merged,FoodID:34040|آب water tap,1,verified,
آب آلبالو,لیوان,1,نوشیدنی,,false,87.5,0,1.5,20.25,0.25,,,,,,,,,,,,,,,,,0.364583,0.030369,0.056155,0.051314,0.035858,0.042517,0.043768,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب آلبالو,گرم,100,نوشیدنی,,true,47,0.25,0.45,11.05,0.05,11.05,,,,,,,,,,,,,,,,0.47,0.03915,0.072391,0.066151,0.046226,0.05481,0.056423,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب آلو,گرم,100,نوشیدنی,,true,58,0,0.5,15,0.9,14,,,,,,,,,,,,,,,,0.58,0.048313,0.089334,0.081633,0.057045,0.067638,0.069628,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب آلو برقانی,لیوان,1,نوشیدنی,,false,142.5,0.25,1.25,36,0,,,,,,,,,,,,,,,,,0.59375,0.049459,0.091452,0.083568,0.058397,0.069242,0.071279,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب آلو برقانی,گرم,100,نوشیدنی,,true,57,0.1,0.5,14.4,0,,,,,,,,,,,,,,,,,0.57,0.04748,0.087794,0.080225,0.056061,0.066472,0.068427,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب آلوئه ورا,گرم,100,نوشیدنی,,true,30,0,0,7,0,7,,,,,,,,,,,,,,,,0.3,0.02499,0.046207,0.042224,0.029506,0.034985,0.036014,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب آناناس,گرم,100,نوشیدنی,,true,53,0.1,0.3,13,0.2,10,,,,,,,,,,,,,,,,0.53,0.044148,0.081633,0.074595,0.052127,0.061808,0.063625,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب آناناس شیرین نشده,لیوان,1,نوشیدنی,,false,102.5,0.25,0.75,26.25,0,,,,,,,,,,,,,,,,,0.427083,0.035575,0.065781,0.06011,0.042005,0.049806,0.051271,gymshow,gymshow_foods_nutrition7000.csv,,verified,
